formula     mp_id       data        prediction  
ErAsSe      mp-1102033  -1          0           1
UCoSi       mp-20811    -1          1           1
CeSe2       mp-1080312  -1          0           1
YAlAu       mp-1102840  -1          1           1
TiO2        mp-9173     0           0           1
NaPbN       mp-1245972  -1          0           1
SiRu2       mp-10025    0           0           1
LuGePt      mp-13580    0           0           1
CeAsRh      mp-10478    0           0           1
Tm2Au       mp-1095690  0           0           1
YbCuSn      mp-1207590  -1          0           1
InPd2       mp-22646    0           0           1
YSnPt       mp-22275    0           0           1
SrF2        mp-1102240  -1          0           1
Ho2Pt       mp-1102104  -1          0           1
CaSbPd      mp-1213959  -1          0           1
Tb2Pt       mp-11551    1           0           1
TmGaPt      mp-1103049  -1          0           1
Yb2Pt       mp-1102776  -1          0           1
YSiRu       mp-21069    0           0           1
Pr2Ga       mp-623027   0           0           1
HoGePt      mp-1103105  -1          0           1
NdGeRh      mp-21044    0           0           1
MoPRu       mp-22451    -1          1           1
BaBrCl      mp-28049    0           0           1
ErSiPt      mp-1102879  -1          0           1
DyGaNi      mp-1102760  -1          0           1
ErCoSi      mp-1102621  -1          0           1
DyGaCo      mp-605252   0           0           1
ScGaPd      mp-1095544  1           1           1
SmNiPb      mp-1209474  -1          1           1
Yb2Ge       mp-1694     0           1           1
HfGeIr      mp-1102841  -1          1           1
HoPPd       mp-1212072  -1          1           1
PrSnRu      mp-21010    0           0           1
TbSiNi      mp-1208359  -1          0           1
YbAsS       mp-1102611  -1          1           1
TaPRh       mp-1095548  0           1           1
HfGePt      mp-21340    1           1           1
VNiGe       mp-1095536  -1          1           1
ScSiRu      mp-1102525  -1          0           1
SmZnRh      mp-13376    1           1           1
Nd2Al       mp-1101848  -1          0           1
HoSiPt      mp-1102935  -1          0           1
RbHO        mp-756182   -1          0           1
NdMgRh      mp-1209841  -1          1           1
NdSbIr      mp-1209911  -1          0           1
TbSbRh      mp-22115    0           0           1
ZrSiOs      mp-1103293  -1          1           1
ZrSiMo      mp-1102520  -1          0           1
ErSnPd      mp-1095377  0           0           1
CaZnPd      mp-1213948  -1          0           1
CaPdPb      mp-1102860  -1          0           1
TiCuGe      mp-1101311  -1          0           1
SrMgPb      mp-1103314  -1          0           1
NiS2        mp-1103643  -1          0           1
ZrGePt      mp-1095610  1           1           1
NaCdBi      mp-2647077  -1          1           1
VFeP        mp-1103605  -1          1           1
ErAsPd      mp-13271    1           1           1
DyAlPt      mp-1103319  -1          1           1
Tb2Au       mp-1095658  0           0           1
SnICl       mp-571146   0           0           1
SbSI        mp-23041    0           0           1
DyPPd       mp-1212811  -1          1           1
YbCoGe      mp-1207575  -1          0           1
TiVP        mp-1208170  -1          1           1
AgAsS       mp-984714   -1          0           1
TaSiNi      mp-1208557  -1          0           1
SrF2        mp-1102911  -1          0           1
MgH2        mp-23712    0           0           1
YSeF        mp-556111   1           0           1
CaMgPb      mp-861738   0           0           1
